字段代码,字段(大写),中文名,参数,来源
abs_cumulativedefaultrate,ABS_CUMULATIVEDEFAULTRATE,累计违约率,,xla去前缀变体
abs_currentloan,ABS_CURRENTLOAN,当前贷款笔数,,xla去前缀变体
abs_currentloans,ABS_CURRENTLOANS,当前贷款余额,,xla去前缀变体
abs_currentwarm,ABS_CURRENTWARM,当前加权平均贷款剩余期限,,xla去前缀变体
abs_currentwtgavgrate,ABS_CURRENTWTGAVGRATE,当前加权平均贷款利率,,xla去前缀变体
abs_cutoffdate,ABS_CUTOFFDATE,初始起算日,,xla去前缀变体
abs_dealbalance,ABS_DEALBALANCE,项目发行规模,,xla去前缀变体
abs_dealout,ABS_DEALOUT,项目存量规模,DEALDATE,xla去前缀变体
abs_dealoutststandingamount,ABS_DEALOUTSTSTANDINGAMOUNT,项目余额,DEALDATE,xla去前缀变体
abs_defiguarantor,ABS_DEFIGUARANTOR,差额支付承诺人,,xla去前缀变体
abs_delinquencyrate,ABS_DELINQUENCYRATE,严重拖欠率,,xla去前缀变体
abs_delinquencyrate2,ABS_DELINQUENCYRATE2,严重拖欠率,DEALDATE,xla去前缀变体
abs_endborrower,ABS_ENDBORROWER,期末剩余资产池借款人户数,DEALDATE,xla去前缀变体
abs_enddateofassetclearing,ABS_ENDDATEOFASSETCLEARING,清算结束日,,xla去前缀变体
abs_endnplbal,ABS_ENDNPLBAL,不良ABS期末本息余额,DEALDATE,xla去前缀变体
abs_endpoolbalance,ABS_ENDPOOLBALANCE,期末剩余资产池余额,DEALDATE,xla去前缀变体
abs_endpoolnumber,ABS_ENDPOOLNUMBER,期末剩余资产池笔数,DEALDATE,xla去前缀变体
abs_endweightedaveragelife,ABS_ENDWEIGHTEDAVERAGELIFE,期末资产池剩余期限,DEALDATE,xla去前缀变体
abs_endweightedaveragerate,ABS_ENDWEIGHTEDAVERAGERATE,期末资产池加权平均利率,DEALDATE,xla去前缀变体
abs_expectedmaturitywithprepay,ABS_EXPECTEDMATURITYWITHPREPAY,早偿预期到期日,,xla去前缀变体
abs_expectrecoveramount,ABS_EXPECTRECOVERAMOUNT,预计可回收金额,,xla去前缀变体
abs_expectrecoveryrate,ABS_EXPECTRECOVERYRATE,不良ABS预期回收比率,DEALDATE,xla去前缀变体
abs_expreconasset,ABS_EXPRECONASSET,不良ABS预期回收比率(占入池资产总额比),DEALDATE,xla去前缀变体
abs_fiexdcapitalcostrate,ABS_FIEXDCAPITALCOSTRATE,固定资金成本,,xla去前缀变体
abs_finaladjdur,ABS_FINALADJDUR,证券最终修正久期,,xla去前缀变体
abs_finalyiled,ABS_FINALYILED,证券最终收益率,,xla去前缀变体
abs_firstpaymentdate,ABS_FIRSTPAYMENTDATE,首次支付日,,xla去前缀变体
abs_fullnamepro,ABS_FULLNAMEPRO,项目名称,,xla去前缀变体
abs_guarassetpool,ABS_GUARASSETPOOL,担保人(对资产池),,xla去前缀变体
abs_industry,ABS_INDUSTRY,主体行业,,xla去前缀变体
abs_industry1,ABS_INDUSTRY1,主体性质,,xla去前缀变体
abs_initialpoolbalance,ABS_INITIALPOOLBALANCE,初始资产池金额统计,AMTTYPE,xla去前缀变体
abs_initialpoollife,ABS_INITIALPOOLLIFE,初始资产池期限统计,AMTTYPE,xla去前缀变体
abs_initialpoolnumber,ABS_INITIALPOOLNUMBER,初始资产池数量统计,AMTTYPE,xla去前缀变体
abs_initialpoolrate,ABS_INITIALPOOLRATE,初始资产池利率统计,AMTTYPE,xla去前缀变体
abs_issueprop,ABS_ISSUEPROP,发行分层占比,DEALDATE,xla去前缀变体
abs_legalmaturity,ABS_LEGALMATURITY,法定到期日,,xla去前缀变体
abs_liquiditysup,ABS_LIQUIDITYSUP,流动性支持承诺人(对资产池),,xla去前缀变体
abs_liquiguarantor,ABS_LIQUIGUARANTOR,流动性支持承诺人,,xla去前缀变体
abs_namepro,ABS_NAMEPRO,项目简称,,xla去前缀变体
abs_nplcurpirecamt,ABS_NPLCURPIRECAMT,不良ABS本期间本息回收金额,DEALDATE,xla去前缀变体
abs_payback,ABS_PAYBACK,还本方式,,xla去前缀变体
abs_paymentdate,ABS_PAYMENTDATE,支付日,,xla去前缀变体
abs_penetrateactrualdebtor,ABS_PENETRATEACTRUALDEBTOR,穿透信用主体,,xla去前缀变体
abs_penetrateactrualdebtor_abbr,ABS_PENETRATEACTRUALDEBTOR_ABBR,穿透信用主体中文简称,,xla去前缀变体
abs_periodprepayrate,ABS_PERIODPREPAYRATE,期间早偿率,DEALDATE,xla去前缀变体
abs_prepayrate_cbr,ABS_PREPAYRATE_CBR,ABS早偿率预测(中债资信),TRADEDATE、FN,xla去前缀变体
abs_principalbasis_cbr,ABS_PRINCIPALBASIS_CBR,ABS本金因子(中债资信),TRADEDATE,xla去前缀变体
abs_prinfinaldate,ABS_PRINFINALDATE,本金最终兑付日,,xla去前缀变体
abs_projectarrange,ABS_PROJECTARRANGE,项目安排人,,xla去前缀变体
abs_projectcode,ABS_PROJECTCODE,项目代码,,xla去前缀变体
abs_province,ABS_PROVINCE,主体地区,,xla去前缀变体
abs_recommendcpr,ABS_RECOMMENDCPR,早偿率,,xla去前缀变体
abs_recoverycash,ABS_RECOVERYCASH,不良AB期间合计本息回收金额,DEALDATE,xla去前缀变体
abs_recoveryrate_cbr,ABS_RECOVERYRATE_CBR,ABS回收率预测(中债资信),TRADEDATE、FN,xla去前缀变体
abs_rectopool,ABS_RECTOPOOL,不良ABS实际回收比率(占入池资产总额比),DEALDATE,xla去前缀变体
abs_reinvestenddate,ABS_REINVESTENDDATE,循环期截止日,,xla去前缀变体
abs_revstartdt,ABS_REVSTARTDT,循环期起始日,,xla去前缀变体
abs_samepoolsize,ABS_SAMEPOOLSIZE,同资产池发行规模,,xla去前缀变体
abs_selfsustainingproportion,ABS_SELFSUSTAININGPROPORTION,自持比例,,xla去前缀变体
abs_shortfallpay,ABS_SHORTFALLPAY,差额支付承诺人(对资产池),,xla去前缀变体
abs_spv,ABS_SPV,计划管理人,,xla去前缀变体
abs_startdateofassetclearing,ABS_STARTDATEOFASSETCLEARING,清算起始日,,xla去前缀变体
abs_trustee,ABS_TRUSTEE,专项计划托管人,,xla去前缀变体
abs_underlyingtype,ABS_UNDERLYINGTYPE,ABS基础资产分类,ABSType,xla去前缀变体
abs_wal_cbr,ABS_WAL_CBR,ABS预计加权平均期限(中债资信),TRADEDATE,xla去前缀变体
abs_weightedaveragematuritywithprepay,ABS_WEIGHTEDAVERAGEMATURITYWITHPREPAY,加权平均期限,Cycle,xla去前缀变体
absinv_interest,ABSINV_INTEREST,资产支持证券投资收益-利息收入,REPORTDATE,xla去前缀变体
absinv_redemptionspread,ABSINV_REDEMPTIONSPREAD,资产支持证券投资收益-赎回差价收入,REPORTDATE,xla去前缀变体
absinv_subscriptionspread,ABSINV_SUBSCRIPTIONSPREAD,资产支持证券投资收益-申购差价收入,REPORTDATE,xla去前缀变体
absinv_tradespread,ABSINV_TRADESPREAD,资产支持证券投资收益-买卖资产支持证券差价收入,REPORTDATE,xla去前缀变体
absolute_avgincome,ABSOLUTE_AVGINCOME,平均收益,BEGINDATE、EndDate,xla去前缀变体
absolute_avgloss,ABSOLUTE_AVGLOSS,平均损失,BEGINDATE、EndDate,xla去前缀变体
absolute_avgmonthlyreturn,ABSOLUTE_AVGMONTHLYRETURN,平均月度回报,StartDate、EndDate,xla去前缀变体
absolute_condownsmonth,ABSOLUTE_CONDOWNSMONTH,连跌月数,BEGINDATE、EndDate,xla去前缀变体
absolute_conupsmonth,ABSOLUTE_CONUPSMONTH,连涨月数,BEGINDATE、EndDate,xla去前缀变体
absolute_highestmonthlyreturn,ABSOLUTE_HIGHESTMONTHLYRETURN,最高单月回报,BEGINDATE、EndDate,xla去前缀变体
absolute_highestquatreturn,ABSOLUTE_HIGHESTQUATRETURN,最高季度回报,StartDate、EndDate,xla去前缀变体
absolute_highestreturnofconmonth,ABSOLUTE_HIGHESTRETURNOFCONMONTH,最高连续N月回报,BEGINDATE、EndDate,xla去前缀变体
absolute_longestcondownmonth,ABSOLUTE_LONGESTCONDOWNMONTH,最长连续下跌月数,BEGINDATE、EndDate,xla去前缀变体
absolute_longestconupmonth,ABSOLUTE_LONGESTCONUPMONTH,最长连续上涨月数,BEGINDATE、EndDate,xla去前缀变体
absolute_lowestmonthlyreturn,ABSOLUTE_LOWESTMONTHLYRETURN,最低单月回报,BEGINDATE、EndDate,xla去前缀变体
absolute_lowestquatreturn,ABSOLUTE_LOWESTQUATRETURN,最低季度回报,StartDate、EndDate,xla去前缀变体
absolute_lowestreturnofconmonth,ABSOLUTE_LOWESTRETURNOFCONMONTH,最差连续N月回报,BEGINDATE、EndDate,xla去前缀变体
absolute_maxfallofdownmonth,ABSOLUTE_MAXFALLOFDOWNMONTH,最长连续下跌整月跌幅,BEGINDATE、EndDate,xla去前缀变体
absolute_maxincreaseofupmonth,ABSOLUTE_MAXINCREASEOFUPMONTH,最长连续上涨整月涨幅,BEGINDATE、EndDate,xla去前缀变体
absolute_monthlycompositereturn,ABSOLUTE_MONTHLYCOMPOSITERETURN,月度复合回报,BEGINDATE、EndDate,xla去前缀变体
absolute_profitmonthper,ABSOLUTE_PROFITMONTHPER,上涨月份占比,BEGINDATE、EndDate,xla去前缀变体
absolute_profitper,ABSOLUTE_PROFITPER,区间盈利百分比,StartDate、EndDate、CalcTerm,xla去前缀变体
absolute_siml_avglowestmonthlyreturn,ABSOLUTE_SIML_AVGLOWESTMONTHLYRETURN,最低单月回报同类平均,StartDate、EndDate,xla去前缀变体
absolute_updownmonthratio,ABSOLUTE_UPDOWNMONTHRATIO,上涨/下跌月数比,BEGINDATE、EndDate,xla去前缀变体
abstract,ABSTRACT,公司一句话介绍,,xla去前缀变体
acceleratedornot,ACCELERATEDORNOT,是否可加速到期,,xla去前缀变体
accounttreatment,ACCOUNTTREATMENT,会计处理,,xla去前缀变体
accrint_dayend_cnbd,ACCRINT_DAYEND_CNBD,日终应计利息,TRADEDATE,xla原码
accrueddays,ACCRUEDDAYS,已计息天数,,xla去前缀变体
accruedinterest,ACCRUEDINTEREST,应计利息,,探测法实测
acct_rcv,ACCT_RCV,应收账款,,探测法实测
actissuer_area,ACTISSUER_AREA,国家或地区(穿透信用主体),,xla去前缀变体
active_atm_code,ACTIVE_ATM_CODE,主力平值期权代码,TRADEDATE、OptionType、UnderType,xla去前缀变体
active_op_undly,ACTIVE_OP_UNDLY,活跃期权标的代码,TRADEDATE、Exercisetype、TermType、Multipliertype,xla去前缀变体
actualbenchmark,ACTUALBENCHMARK,计息基准,,xla去前缀变体
actualleverageratio,ACTUALLEVERAGERATIO,实际杠杆倍数,,xla去前缀变体
actualmaturitydate,ACTUALMATURITYDATE,实际到期日,,xla去前缀变体
additionalto,ADDITIONALTO,增发债对应原债券,,xla去前缀变体
address,ADDRESS,注册地址,,xla去前缀变体
adjfactor,ADJFACTOR,复权因子,,探测法实测
admexptogr2,ADMEXPTOGR2,管理费用/营业总收入(不含研发费用),REPORTDATE,xla去前缀变体
admincode,ADMINCODE,所属行政区划代码,AdminLevelType、TRADEDATE,xla去前缀变体
adminexpense_ttm,ADMINEXPENSE_TTM,管理费用(TTM),,xla去前缀变体
adminexpense_ttm2,ADMINEXPENSE_TTM2,管理费用(TTM),REPORTDATE,xla去前缀变体
adminexpensetogr,ADMINEXPENSETOGR,管理费用／营业总收入,REPORTDATE,xla去前缀变体
adminexpensetogr_ttm,ADMINEXPENSETOGR_TTM,管理费用／营业总收入(TTM),,xla去前缀变体
adminexpensetogr_ttm2,ADMINEXPENSETOGR_TTM2,管理费用/营业总收入(TTM),REPORTDATE,xla去前缀变体
administrativedivision,ADMINISTRATIVEDIVISION,所属行政区划,Level、TRADEDATE,xla去前缀变体
ado_actualissueamt,ADO_ACTUALISSUEAMT,增发债实际发行额,Batch,xla去前缀变体
ado_amountplan,ADO_AMOUNTPLAN,增发债计划发行额,Batch,xla去前缀变体
ado_anndate,ADO_ANNDATE,增发债公告日,Batch,xla去前缀变体
ado_bidcoverratio,ADO_BIDCOVERRATIO,增发债全场倍数,Batch,xla去前缀变体
ado_biddernum,ADO_BIDDERNUM,增发债投标家数,Batch,xla去前缀变体
ado_bidmax,ADO_BIDMAX,增发债投标上限,Batch,xla去前缀变体
ado_bidmin,ADO_BIDMIN,增发债投标下限,Batch,xla去前缀变体
ado_bidspread,ADO_BIDSPREAD,增发债中标利差,Batch,xla去前缀变体
ado_bidstep,ADO_BIDSTEP,增发债投标步长,Batch,xla去前缀变体
ado_continuousbidpos,ADO_CONTINUOUSBIDPOS,增发债是否要求标位连续,Batch,xla去前缀变体
ado_distend,ADO_DISTEND,增发债分销截止日,Batch,xla去前缀变体
ado_diststart,ADO_DISTSTART,增发债分销起始日,Batch,xla去前缀变体
ado_fee,ADO_FEE,增发债手续费,Batch,xla去前缀变体
ado_issuanceamtmax,ADO_ISSUANCEAMTMAX,增发债发行金额上限,Batch,xla去前缀变体
ado_issueend,ADO_ISSUEEND,增发债发行截止日,Batch,xla去前缀变体
ado_issuestart,ADO_ISSUESTART,增发债发行起始日,Batch,xla去前缀变体
ado_listdate,ADO_LISTDATE,增发债上市日,Batch,xla去前缀变体
ado_marginalrate,ADO_MARGINALRATE,增发债边际利率,Batch,xla去前缀变体
ado_marginalratio,ADO_MARGINALRATIO,增发债边际倍数,Batch,xla去前缀变体
ado_maxbidprice,ADO_MAXBIDPRICE,增发债最高投标价位,Batch,xla去前缀变体
ado_maxbidqty,ADO_MAXBIDQTY,增发债标位最高投标量,Batch,xla去前缀变体
ado_minbidprice,ADO_MINBIDPRICE,增发债最低投标价位,Batch,xla去前缀变体
ado_minbidqty,ADO_MINBIDQTY,增发债标位最低投标量,Batch,xla去前缀变体
ado_minbidunit,ADO_MINBIDUNIT,增发债最小投标单位,Batch,xla去前缀变体
ado_payend,ADO_PAYEND,增发债缴款截止日,Batch,xla去前缀变体
ado_paystart,ADO_PAYSTART,增发债缴款起始日,Batch,xla去前缀变体
ado_refyield,ADO_REFYIELD,增发债参考收益率,Batch,xla去前缀变体
ado_tendermethod,ADO_TENDERMETHOD,增发债招标方式,Batch,xla去前缀变体
ado_tendertarget,ADO_TENDERTARGET,增发债招标标的,Batch,xla去前缀变体
ado_tendertime,ADO_TENDERTIME,增发债招标时间,Batch,xla去前缀变体
ado_tendervenue,ADO_TENDERVENUE,增发债招标场所,Batch,xla去前缀变体
ado_totalbidamt,ADO_TOTALBIDAMT,增发债投标总量,Batch,xla去前缀变体
ado_totalvalidbidamt,ADO_TOTALVALIDBIDAMT,增发债有效投标总量,Batch,xla去前缀变体
ado_transferdate,ADO_TRANSFERDATE,增发债债券过户日,Batch,xla去前缀变体
ado_underwritingmethod,ADO_UNDERWRITINGMETHOD,增发债承销方式,Batch,xla去前缀变体
ado_validbiddernum,ADO_VALIDBIDDERNUM,增发债有效投标家数,Batch,xla去前缀变体
ado_winprice,ADO_WINPRICE,增发债中标价格,Batch,xla去前缀变体
adtm,ADTM,ADTM动态买卖气指标,,xla原码
advancecredit_desc,ADVANCECREDIT_DESC,信托项目关联企业名称,,xla原码
agency_bondtrustee,AGENCY_BONDTRUSTEE,受托管理人,,xla去前缀变体
agency_bookkeeper,AGENCY_BOOKKEEPER,账簿管理人,,xla去前缀变体
agency_booksupporter,AGENCY_BOOKSUPPORTER,集中簿记建档系统技术支持机构,,xla去前缀变体
agency_certification,AGENCY_CERTIFICATION,绿色债券认证机构,,xla去前缀变体
agency_coordinator,AGENCY_COORDINATOR,联席全球协调人(海外),,xla去前缀变体
agency_fundbank,AGENCY_FUNDBANK,募集资金专项账户开户行,,xla去前缀变体
agency_guarantor_abbr,AGENCY_GUARANTOR_ABBR,担保人中文简称,,xla去前缀变体
agency_guarantorbriefing,AGENCY_GUARANTORBRIEFING,"担保人公司简介,b_agency_guarantorbriefing(新增)",,xla去前缀变体
agency_guarantornature,AGENCY_GUARANTORNATURE,"担保人公司属性,b_agency_guarantornature(新增)",,xla去前缀变体
agency_jointleadunder,AGENCY_JOINTLEADUNDER,联席主承销商,,xla去前缀变体
agency_leadunderwritersn,AGENCY_LEADUNDERWRITERSN,主承销商(简称),,xla去前缀变体
agency_management,AGENCY_MANAGEMENT,存续期管理机构,,xla去前缀变体
agency_manaleadunder,AGENCY_MANALEADUNDER,牵头主承销商,,xla去前缀变体
agency_reguarantor,AGENCY_REGUARANTOR,再担保人,,xla去前缀变体
agency_sblc,AGENCY_SBLC,备用信用证提供方,,xla去前缀变体
agency_underwriter,AGENCY_UNDERWRITER,牵头经办人,,xla去前缀变体
allreturndate,ALLRETURNDATE,理论回售日,,xla去前缀变体
allstock_pb,ALLSTOCK_PB,全部持股平均市净率,REPORTDATE,xla去前缀变体
allstock_pe,ALLSTOCK_PE,全部持股平均市盈率,REPORTDATE,xla去前缀变体
amount,AMOUNT,成交额,,xla去前缀变体
amount_aht,AMOUNT_AHT,盘后成交额,TRADEDATE,xla去前缀变体
amount_btin,AMOUNT_BTIN,成交额(含大宗交易),TRADEDATE,xla去前缀变体
amount_fixedincome,AMOUNT_FIXEDINCOME,上证固收平台成交金额,TRADEDATE、PRICETYPE,xla去前缀变体
amt,AMT,成交额,,探测法实测
amtpropfdleundwt,AMTPROPFDLEUNDWT,主承销商自营资金获配金额,,xla去前缀变体
amtratio,AMTRATIO,成交额认沽认购比率,SettlementMonth、TRADEDATE,xla去前缀变体
anal_avgnavreturn,ANAL_AVGNAVRETURN,基金加权平均净值利润率(新增),REPORTDATE,xla去前缀变体
anal_avgnetincomeperunit,ANAL_AVGNETINCOMEPERUNIT,报告期加权平均份额利润(新增),REPORTDATE,xla去前缀变体
anal_basepointvalue,ANAL_BASEPOINTVALUE,平均基点价值,TRADEDATE,xla去前缀变体
anal_basis,ANAL_BASIS,基差(股指期货),TRADEDATE,xla去前缀变体
anal_basis_stkidx,ANAL_BASIS_STKIDX,基差(股指期货),TRADEDATE,xla去前缀变体
anal_basisannualyield,ANAL_BASISANNUALYIELD,基差年化收益率(股指期货),TRADEDATE,xla去前缀变体
anal_basisannualyield_stkidx,ANAL_BASISANNUALYIELD_STKIDX,基差年化收益率(股指期货),TRADEDATE,xla去前缀变体
anal_basispercent,ANAL_BASISPERCENT,基差率(股指期货),TRADEDATE,xla去前缀变体
anal_basispercent_stkidx,ANAL_BASISPERCENT_STKIDX,基差率(股指期货),TRADEDATE,xla去前缀变体
anal_capconvexity,ANAL_CAPCONVEXITY,平均市值法凸性,TRADEDATE,xla去前缀变体
anal_capduration,ANAL_CAPDURATION,平均市值法久期,TRADEDATE,xla去前缀变体
anal_capytm,ANAL_CAPYTM,平均市值法到期收益率,TRADEDATE,xla去前缀变体
anal_cashflowconvexity,ANAL_CASHFLOWCONVEXITY,平均现金流法凸性,TRADEDATE,xla去前缀变体
anal_cashflowduration,ANAL_CASHFLOWDURATION,平均现金流法久期,TRADEDATE,xla去前缀变体
anal_cashflowytm,ANAL_CASHFLOWYTM,平均现金流法到期收益率,TRADEDATE,xla去前缀变体
anal_disratiodevi,ANAL_DISRATIODEVI,折溢价比率偏离系数,,xla去前缀变体
anal_distributable,ANAL_DISTRIBUTABLE,期末可供分配基金收益,REPORTDATE,xla去前缀变体
anal_distributableperunit,ANAL_DISTRIBUTABLEPERUNIT,期末可供分配基金份额收益,REPORTDATE,xla去前缀变体
anal_downdiscount_pctchange,ANAL_DOWNDISCOUNT_PCTCHANGE,下折母基金需跌,TRADEDATE,xla去前缀变体
anal_downdiscount_threshold,ANAL_DOWNDISCOUNT_THRESHOLD,下折阈值,,xla去前缀变体
anal_impliedyield,ANAL_IMPLIEDYIELD,隐含收益率,TRADEDATE,xla去前缀变体
anal_income,ANAL_INCOME,报告期利润(新增),REPORTDATE,xla去前缀变体
anal_ipratio,ANAL_IPRATIO,平均派息率,TRADEDATE,xla去前缀变体
anal_navlever,ANAL_NAVLEVER,净值杠杆,,xla去前缀变体
anal_netincome,ANAL_NETINCOME,报告期基金净收益,REPORTDATE,xla去前缀变体
anal_nextaayield,ANAL_NEXTAAYIELD,下期约定年收益率,,xla去前缀变体
anal_nextdiscountdate,ANAL_NEXTDISCOUNTDATE,下一定期折算日,,xla去前缀变体
anal_period,ANAL_PERIOD,平均待偿期,TRADEDATE,xla去前缀变体
anal_precupn,ANAL_PRECUPN,上一付息日,DEALDATE,xla去前缀变体
anal_pricelever,ANAL_PRICELEVER,价格杠杆,,xla去前缀变体
anal_reits_actdist,ANAL_REITS_ACTDIST,实际分配金额(本期),REPORTDATE,xla去前缀变体
anal_reits_cashdist,ANAL_REITS_CASHDIST,现金分派率,Year,xla去前缀变体
anal_reits_cashflowbalance,ANAL_REITS_CASHFLOWBALANCE,经营活动现金流量余额,REPORTDATE,xla去前缀变体
anal_reits_depreciationandamortization,ANAL_REITS_DEPRECIATIONANDAMORTIZATION,折旧和摊销,REPORTDATE,xla去前缀变体
anal_reits_distributedamounts,ANAL_REITS_DISTRIBUTEDAMOUNTS,可供分配金额(本期),REPORTDATE,xla去前缀变体
anal_reits_ebit,ANAL_REITS_EBIT,税息折旧及摊销前利润,REPORTDATE,xla去前缀变体
anal_reits_fairvalue,ANAL_REITS_FAIRVALUE,期末基金份额公允价值参考净值,Year,xla去前缀变体
anal_reits_income,ANAL_REITS_INCOME,本期收入,REPORTDATE,xla去前缀变体
anal_reits_interestcost,ANAL_REITS_INTERESTCOST,利息支出,REPORTDATE,xla去前缀变体
anal_reits_irr,ANAL_REITS_IRR,内部收益率,Year,xla去前缀变体
anal_reits_netprofit,ANAL_REITS_NETPROFIT,本期净利润,REPORTDATE,xla去前缀变体
anal_reits_taxcost,ANAL_REITS_TAXCOST,所得税费用,REPORTDATE,xla去前缀变体
anal_reits_unitactdist,ANAL_REITS_UNITACTDIST,单位实际分配金额(本期),REPORTDATE,xla去前缀变体
anal_reits_unitdistributedamounts,ANAL_REITS_UNITDISTRIBUTEDAMOUNTS,单位可供分配金额(本期),REPORTDATE,xla去前缀变体
anal_smfbfactualcost,ANAL_SMFBFACTUALCOST,实际资金成本,,xla去前缀变体
anal_smfbnamedcost,ANAL_SMFBNAMEDCOST,名义资金成本,,xla去前缀变体
anal_smfearning,ANAL_SMFEARNING,分级基金收益分配方式,,xla去前缀变体
anal_tdiscountratio,ANAL_TDISCOUNTRATIO,整体折溢价率,,xla去前缀变体
anal_updiscount_pctchange,ANAL_UPDISCOUNT_PCTCHANGE,上折母基金需涨,TRADEDATE,xla去前缀变体
anal_updiscount_threshold,ANAL_UPDISCOUNT_THRESHOLD,上折阈值,,xla去前缀变体
anchorbond,ANCHORBOND,主债券代码,,xla去前缀变体
announcedateofcsrc,ANNOUNCEDATEOFCSRC,证监会核准公告日,,xla去前缀变体
anticipateyield_desc,ANTICIPATEYIELD_DESC,信用增级情况,,xla原码
anyield_roll,ANYIELD_ROLL,期货合约展期年化收益率,TRADEDATE,xla去前缀变体
apturn,APTURN,应付账款周转率,REPORTDATE,xla去前缀变体
apturndays,APTURNDAYS,应付账款周转天数,REPORTDATE,xla去前缀变体
ard_bs_perp_min,ARD_BS_PERP_MIN,永续债_归属于少数股东,REPORTDATE,xla去前缀变体
ard_bs_perp_par,ARD_BS_PERP_PAR,永续债_归属于母公司股东,REPORTDATE,xla去前缀变体
ard_bs_perpetual,ARD_BS_PERPETUAL,永续债_合计,REPORTDATE,xla去前缀变体
ard_is_investmentproperty,ARD_IS_INVESTMENTPROPERTY,投资物业公允价值变动(公布值),REPORTDATE、TYPE,xla去前缀变体
ard_is_sales,ARD_IS_SALES,总营业收入(公布值),REPORTDATE、TYPE,xla去前缀变体
area,AREA,注册地所在国家或地区,,xla去前缀变体
arturn,ARTURN,应收账款周转率,,探测法实测
arturndays,ARTURNDAYS,应收账款周转天数,REPORTDATE,xla去前缀变体
asharewindcode,ASHAREWINDCODE,同公司A股Wind代码,,xla去前缀变体
askrt_avg,ASKRT_AVG,报价卖出收益率(算数平均),,xla去前缀变体
askrt_bst,ASKRT_BST,报价卖出收益率(最优),,xla去前缀变体
asset_mrq,ASSET_MRQ,资产总计(MRQ),,xla去前缀变体
assetmanagementshold_products,ASSETMANAGEMENTSHOLD_PRODUCTS,持有券商资管家数,REPORTDATE,xla去前缀变体
assetstoequity,ASSETSTOEQUITY,权益乘数,REPORTDATE,xla去前缀变体
assetsturn,ASSETSTURN,总资产周转率,,探测法实测
atmcode,ATMCODE,平值期权代码,TRADEDATE、SettlementMonth,xla去前缀变体
atmiv_expiration,ATMIV_EXPIRATION,期权衍生剩余到期,TRADEDATE,xla去前缀变体
atmiv_mapping,ATMIV_MAPPING,期权衍生对应关系,TRADEDATE,xla去前缀变体
atr,ATR,ATR真实波幅,,xla原码
audaccdate,AUDACCDATE,债券审核受理日期,,xla去前缀变体
auditor,AUDITOR,首发审计机构,,xla去前缀变体
auditor2,AUDITOR2,审计机构(支持历史),TRADEDATE,xla去前缀变体
avgprice_fixedincome,AVGPRICE_FIXEDINCOME,上证固收平台平均价,TRADEDATE、PRICETYPE,xla去前缀变体
avgreturn,AVGRETURN,平均收益率,,xla去前缀变体
avgreturny,AVGRETURNY,平均收益率(年化)(新增),TD1、TD2,xla去前缀变体
avgyiled_broker,AVGYILED_BROKER,均价收益率(经纪商),TRADEDATE,xla去前缀变体
backdoor,BACKDOOR,是否借壳上市,,xla去前缀变体
backdoordate,BACKDOORDATE,借壳上市日期,,xla去前缀变体
